time,x,y,theta
84.053,-0.022,-0.075,1.031
84.652,-0.035,-0.1,0.722
84.852,-0.056,-0.101,0.762
85.067,-0.032,-0.057,0.849
85.156,-0.021,-0.042,0.841
85.405,0.042,-0.032,0.892
85.631,0.081,0.023,0.898
85.757,0.076,0.027,0.879
86.912,0.339,0.3,0.818
87.186,0.319,0.314,0.833
87.252,0.304,0.3,0.83
87.452,0.306,0.322,0.836
87.657,0.295,0.329,0.849
87.884,0.24,0.473,0.858
87.961,0.232,0.454,0.855
88.112,0.247,0.284,0.851
88.228,0.234,0.269,0.847
88.472,0.06,0.341,0.792
88.661,0.02,0.122,0.845
88.966,-0.047,0.187,0.772
89.217,-0.142,-0.009,0.784
89.437,-0.235,0.161,0.706
89.666,-0.13,-0.171,0.896
89.799,-0.12,-0.167,0.879
89.857,-0.109,-0.163,0.863
90.158,-0.224,-0.125,0.638
90.379,-0.232,-0.105,0.519
90.554,-0.123,-0.046,0.432
90.666,-0.107,-0.044,0.42
90.921,0.034,-0.065,0.355
91.124,0.094,-0.044,0.332
91.238,0.108,-0.04,0.318
91.337,0.123,-0.037,0.305
91.592,0.157,0.084,0.301
91.69,0.171,0.082,0.286
91.769,0.185,0.08,0.272
91.928,0.261,0.137,0.204
92.126,0.326,0.139,0.189
92.234,0.336,0.132,0.173
92.325,0.346,0.124,0.158
92.569,0.463,0.17,0.094
92.816,0.531,0.177,0.063
92.9,0.521,0.161,0.055
92.984,0.511,0.146,0.048
93.143,0.639,0.168,0.033
93.348,0.678,0.076,-0.123
93.559,0.716,0.058,-0.233
93.773,0.712,0.048,-0.261
93.956,0.708,0.043,-0.269
94.07,0.694,0.043,-0.255
94.334,0.647,0.054,-0.321
94.656,0.54,0.086,-0.27
94.877,0.485,0.173,-0.209
95.102,0.433,0.193,-0.203
95.196,0.435,0.181,-0.187
95.282,0.436,0.17,-0.171
95.44,0.355,0.219,-0.203
95.645,0.31,0.148,-0.211
95.755,0.321,0.141,-0.195
95.86,0.331,0.134,-0.179
95.968,0.341,0.127,-0.164
96.077,0.352,0.119,-0.148
96.332,0.306,0.138,-0.039
96.561,0.329,0.208,0.09
96.751,0.375,0.24,0.128
96.948,0.414,0.241,0.163
97.209,0.478,0.148,0.229
97.512,0.605,0.282,0.202
97.609,0.596,0.269,0.19
97.689,0.587,0.255,0.178
97.846,0.685,0.269,0.18
98.038,0.707,0.259,0.127
98.169,0.693,0.247,0.12
98.369,0.714,0.249,0.082
98.576,0.706,0.152,0.003
98.692,0.687,0.145,0.003
98.9,0.636,0.119,-0.233
99.111,0.599,0.234,-0.25
99.215,0.591,0.224,-0.235
99.296,0.582,0.213,-0.221
99.457,0.484,0.253,-0.243
99.648,0.403,0.276,-0.241
99.734,0.406,0.262,-0.227
100.009,0.307,0.315,-0.255
100.184,0.271,0.316,-0.244
100.302,0.28,0.303,-0.232
100.414,0.289,0.289,-0.22
100.668,0.274,0.181,-0.16
100.856,0.296,0.28,-0.161
100.955,0.305,0.266,-0.151
101.021,0.315,0.251,-0.141
101.324,0.37,0.266,0.066
101.623,0.451,0.27,0.251
101.86,0.515,0.291,0.278
102.047,0.584,0.306,0.428
102.114,0.579,0.296,0.411
102.266,0.64,0.334,0.515
102.378,0.634,0.325,0.498
102.48,0.628,0.316,0.481
102.585,0.622,0.307,0.465
102.694,0.615,0.297,0.448
