time,x,y,theta
313.721,0.264,0.3,-2.7
313.88,0.265,0.152,-2.574
313.939,0.262,0.157,-2.593
314.101,0.249,0.127,-2.578
314.258,0.247,0.133,-2.597
314.515,0.166,0.099,-2.54
314.668,0.167,0.106,-2.559
314.978,0.13,0.093,-2.675
315.095,0.132,0.101,-2.693
315.146,0.135,0.109,-2.711
315.307,0.121,0.119,-2.689
315.617,0.135,0.28,-2.701
315.82,0.147,0.306,-2.858
316.021,0.17,0.321,-3.014
316.145,0.175,0.317,-3.033
316.268,0.179,0.314,-3.052
316.763,0.259,0.307,2.785
316.97,0.258,0.306,2.765
317.05,0.257,0.304,2.746
317.21,0.276,0.238,2.652
317.414,0.305,0.279,2.327
317.619,0.294,0.208,1.957
317.84,0.232,0.219,1.881
318.035,0.246,0.232,1.761
318.163,0.241,0.228,1.742
318.495,0.221,0.233,1.239
318.706,0.21,0.238,1.25
318.933,0.214,0.239,1.209
319.142,0.193,0.227,1.148
319.263,0.194,0.226,1.168
319.377,0.194,0.224,1.188
319.457,0.194,0.223,1.208
319.598,0.175,0.226,1.258
319.656,0.177,0.225,1.278
319.848,0.164,0.206,1.368
320.042,0.165,0.196,1.537
320.435,0.162,0.192,2.018
320.582,0.164,0.193,1.998
320.91,0.093,0.179,2.261
321.125,0.093,0.193,2.27
321.344,0.114,0.216,2.199
321.537,0.168,0.238,2.045
321.669,0.169,0.239,2.025
321.861,0.164,0.237,1.557
322.054,0.183,0.226,1.409
322.177,0.185,0.226,1.389
322.367,0.239,0.188,1.127
322.488,0.24,0.192,1.107
322.568,0.24,0.195,1.087
322.812,0.234,0.182,0.728
323.044,0.26,0.18,0.535
323.242,0.294,0.177,0.478
323.452,0.242,0.157,0.476
323.568,0.243,0.161,0.457
323.829,0.303,0.241,0.314
324.12,0.315,0.285,0.017
324.663,0.324,0.297,-0.027
